VisaType,countries,date_gov,date,delay,delay_days,category
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-07-01,1484 days,1484.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-06-01,1454 days,1454.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-05-01,1423 days,1423.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-04-01,1393 days,1393.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-03-01,1362 days,1362.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-02-01,1334 days,1334.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2023-01-01,1303 days,1303.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2022-12-01,1272 days,1272.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2022-11-01,1242 days,1242.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-06-08,2022-10-01,1211 days,1211.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-09-01,1249 days,1249.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-08-01,1218 days,1218.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-07-01,1187 days,1187.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-03-01,2022-06-01,1188 days,1188.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-03-01,2022-05-01,1157 days,1157.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-03-01,2022-04-01,1127 days,1127.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-03-01,2022-03-01,1096 days,1096.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-03-01,2022-02-01,1068 days,1068.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-01-22,2022-01-01,1075 days,1075.0,EB2 Final Action Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-07-01,1454 days,1454.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-06-01,1424 days,1424.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-05-01,1393 days,1393.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-04-01,1363 days,1363.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-03-01,1332 days,1332.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-02-01,1304 days,1304.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2023-01-01,1273 days,1273.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2022-12-01,1242 days,1242.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2022-11-01,1212 days,1212.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-07-08,2022-10-01,1181 days,1181.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-05-01,2022-09-01,1219 days,1219.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-05-01,2022-08-01,1188 days,1188.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-05-01,2022-07-01,1157 days,1157.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-06-01,1157 days,1157.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-05-01,1126 days,1126.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-04-01,1096 days,1096.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-03-01,1065 days,1065.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-02-01,1037 days,1037.0,EB2 Priority Date
2nd,"CHINA-
 mainland 
 born",2019-04-01,2022-01-01,1006 days,1006.0,EB2 Priority Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-07-01,515 days,515.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-06-01,485 days,485.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-05-01,454 days,454.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-04-01,424 days,424.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-03-01,393 days,393.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-02-01,365 days,365.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2023-01-01,334 days,334.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-12-01,2022-12-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-11-01,2022-11-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-10-01,2022-10-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-09-01,2022-09-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-08-01,2022-08-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-07-01,2022-07-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2022-06-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-05-01,2022-05-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-04-01,2022-04-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-03-01,2022-03-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2022-02-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-01-01,2022-01-01,0 days,0.0,EB1 Final Action Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-07-01,395 days,395.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-06-01,365 days,365.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-05-01,334 days,334.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-04-01,304 days,304.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-03-01,273 days,273.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-02-01,245 days,245.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2023-01-01,214 days,214.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-12-01,2022-12-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-11-01,2022-11-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-10-01,2022-10-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-09-01,2022-09-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-08-01,2022-08-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-07-01,2022-07-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-06-01,2022-06-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-05-01,2022-05-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-04-01,2022-04-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-03-01,2022-03-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-02-01,2022-02-01,0 days,0.0,EB1 Priority Date
1st,"CHINA-
 mainland 
 born",2022-01-01,2022-01-01,0 days,0.0,EB1 Priority Date
